"Modelo","Accuracy","Kappa"
"KNN",0.947058823529412,0.8846327854019
"SVM",0.958823529411765,0.912021292325891
"Decision Tree",0.917647058823529,0.823468328141225
"Random Forest",0.964705882352941,0.924343569203382
"Gradient Boosting",0.988235294117647,0.974615499477378
